"Name","vCenter","SRM Placeholder","Hostname fqdn","Power state","Os System from Tools","OS System","Environment","Business Application","CICollection","Functional Group","OS Technical Maintainer","CostRecoveryMode","Organization","Office_Department","RFS","Notes"
"remi-d-app-01","BDSVI-D-VCC-01","false","remi-d-app-01.global.un.org","Powered On","Microsoft Windows 11 (64-bit)","Microsoft Windows 10 (64-bit)","-","-","-","-","-","-","-","-","-",""
"csapp-d-sql-41_TBD_ifnocomplains","BDSVI-D-VCC-01","false","none","Powered Off","none","Microsoft Windows Server 2019 (64-bit)","Development","Platform Management","Platform Management - DEV","PSU HCO Hybrid Cloud Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","-","RFS-1-20198293"
"csapp-d-iis-41_TBD_ifnocomplains","BDSVI-D-VCC-01","false","none","Powered Off","none","Microsoft Windows Server 2019 (64-bit)","Development","Platform Management","Platform Management - DEV","PSU HCO Hybrid Cloud Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","-","RFS-1-20198293"
"win19-d-latest","BDSVI-D-VCC-01","false","none","Powered Off","none","Microsoft Windows Server 2019 (64-bit)","-","-","-","-","-","-","-","-","-",""
"mate-d-sql-01","BDSVI-D-VCC-01","false","mate-d-sql-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","Development","TeamMate","TeamMate - DEV","OICT Server per APP","PSU HCO Hybrid Cloud Operations","Hosting","OICT","oict osd sos","RFS-1-12717933829",""
"csap-d-db-01_TBD_ifnocomplains","BDSVI-D-VCC-01","false","none","Powered Off","none","Microsoft Windows Server 2019 (64-bit)","Development","Platform Management","Platform Management - DEV","PSU HCO Hybrid Cloud Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","-","RFS-1-20198293"
"spum-f-sql-01","BDSVI-D-VCC-01","false","spum-f-sql-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","development","UMOJA-SharePoint Data Integration","UMOJA SharePoint 2019 - DEV","OICT/ESS/EAC-Americas","PSU HCO Hybrid Cloud Operations","Hosting","OICT","","RFS-1-12587258027",""
"alm-q-sql-01","BDSVI-D-VCC-01","false","alm-q-sql-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","QA","Software Lifecycle Tracking Tool","ALM - QA","UNGSC-ISD-IT- Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","OICT","RFS-1-12191720966",""
"spum-g-sql-01","BDSVI-D-VCC-01","false","spum-g-sql-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","Preproduction","UMOJA-SharePoint Data Integration","UMOJA SharePoint 2019 - PRE","Database Services Support (BSC-ASU-DS)","PSU HCO Hybrid Cloud Operations","Hosting","OICT","","RFS-1-12650078811",""
"alm-q-utl-01","BDSVI-D-VCC-01","false","alm-q-utl-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","QA","Software Lifecycle Tracking Tool","ALM - QA","UNGSC-ISD-IT- Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","OICT","RFS-1-12191720966",""
"avn-d-app-01","BDSVI-D-VCC-01","false","avn-d-app-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","Development","MINUSMA-AVIATION E-Services","Aviation e-Services - DEV","MINUSMA Aviation","PSU HCO Hybrid Cloud Operations","Hosting","MINUSMA","","-","RFS-1-10929543127"
"spum-s-sql-02","BDSVI-D-VCC-01","false","spum-s-sql-02.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","QA","UMOJA-SharePoint Data Integration","UMOJA SharePoint 2019 - QA","OICT Server per App","PSU HCO Hybrid Cloud Operations","Hosting","OICT","","RFS-1-12681259271",""
"soc-d-sql-01","BDSVI-D-VCC-01","false","soc-d-sql-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","Development","Contributions Assessment","Contributions Assessments - DEV","OICT Application Rationalization","PSU HCO Hybrid Cloud Operations","Hosting","OICT","dmspc/oppfb","RFS-1-12329594866",""
"mate-d-app-01","BDSVI-D-VCC-01","false","mate-d-app-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","Development","TeamMate","TeamMate - DEV","OICT Server per APP","PSU HCO Hybrid Cloud Operations","Hosting","OICT","oict osd sos","RFS-1-12717933829",""
"spum-g-sql-03","BDSVI-D-VCC-01","false","spum-g-sql-03.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","Preproduction","UMOJA-SharePoint Data Integration","UMOJA SharePoint 2019 - PRE","Database Services Support (BSC-ASU-DS)","PSU HCO Hybrid Cloud Operations","Hosting","OICT","","RFS-1-12650078811",""
"soc-d-app-01","BDSVI-D-VCC-01","false","soc-d-app-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","Development","Contributions Assessment","Contributions Assessments - DEV","OICT Application Rationalization","PSU HCO Hybrid Cloud Operations","Hosting","OICT","dmspc/oppfb","RFS-1-12329594866",""
"spum-s-sql-01","BDSVI-D-VCC-01","false","spum-s-sql-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","QA","UMOJA-SharePoint Data Integration","UMOJA SharePoint 2019 - QA","OICT Server per App","PSU HCO Hybrid Cloud Operations","Hosting","OICT","","RFS-1-12681259271",""
"alm-q-app-01","BDSVI-D-VCC-01","false","alm-q-app-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","QA","Software Lifecycle Tracking Tool","ALM - QA","UNGSC-ISD-IT- Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","OICT","RFS-1-12191720966",""
"csap-d-app-01_TBD_ifnocomplains","BDSVI-D-VCC-01","false","none","Powered Off","none","Microsoft Windows Server 2019 (64-bit)","Development","Platform Management","Platform Management - DEV","PSU HCO Hybrid Cloud Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","-","RFS-1-20198293"
"spum-g-sql-02","BDSVI-D-VCC-01","false","spum-g-sql-02.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2019 (64-bit)","Preproduction","UMOJA-SharePoint Data Integration","UMOJA SharePoint 2019 - PRE","Database Services Support (BSC-ASU-DS)","PSU HCO Hybrid Cloud Operations","Hosting","OICT","","RFS-1-12650078811",""
"win22-d-latest","BDSVI-D-VCC-01","false","none","Powered Off","Microsoft Windows Server 2019 (64-bit)","Microsoft Windows Server 2019 (64-bit)","-","-","-","-","-","-","-","-","-",""
"apro-d-app-06","BDSVI-D-VCC-01","false","apro-d-app-06.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2022 (64-bit)","-","-","-","-","-","-","-","-","-","RFS-1-11837473356"
"ocha-g-app-01","BDSVI-D-VCC-01","false","ocha-g-app-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2022 (64-bit)","Preproduction","CBPF GMS (CHF & ERF)","OCHA CBPF GMS - PRE","OCHA","PSU HCO Hybrid Cloud Operations","Hosting","OCHA","Systems Services","RFS-1-10169574929","RFS-1-10169574929"
"WIN-D-TEMP-2022","BDSVI-D-VCC-01","false","WIN-D-TEMP-2022","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2022 (64-bit)","Development","Templates","Templates","PSU HCO Hybrid Cloud Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","-",""
"apro-d-app-01","BDSVI-D-VCC-01","false","apro-d-app-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2022 (64-bit)","Development","ArcGIS","ArcGIS - DEV","CSDS SSU - Solutions and Support Unit","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","RFS-1-12476862578",""
"apro-d-app-04","BDSVI-D-VCC-01","false","apro-d-app-04.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2022 (64-bit)","-","-","-","-","-","-","-","-","-","RFS-1-11837473356"
"ocha-g-sql-01","BDSVI-D-VCC-01","false","ocha-g-sql-01.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2022 (64-bit)","Preproduction","CBPF GMS (CHF & ERF)","OCHA CBPF GMS - PRE","OCHA","PSU HCO Hybrid Cloud Operations","Hosting","OCHA","Systems Services","RFS-1-10169574929","RFS-1-10169574929"
"apro-d-app-03","BDSVI-D-VCC-01","false","apro-d-app-03.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2022 (64-bit)","Development","ArcGIS","ArcGIS - DEV","CSDS SSU - Solutions and Support Unit","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","RFS-1-12476862578",""
"apro-d-app-02","BDSVI-D-VCC-01","false","apro-d-app-02.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2022 (64-bit)","Development","ArcGIS","ArcGIS - DEV","CSDS SSU - Solutions and Support Unit","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","RFS-1-12476862578",""
"apro-d-app-05","BDSVI-D-VCC-01","false","apro-d-app-05.global.un.org","Powered On","Microsoft Windows Server 2022 (64-bit)","Microsoft Windows Server 2022 (64-bit)","-","-","-","-","-","-","-","-","-","RFS-1-11837473356"
"bdsvi-d-vpx-01","BDSVI-D-VCC-01","false","bdsvi-d-vpx-01","Powered On","FreeBSD 11 (64-bit)","Oracle Solaris 10 (64-bit)","Development","Application Delivery Controller (ADC)","ADC - DEV","PSU UAL Umoja Access Layer Tier 2","PSU UAL Umoja Access Layer Tier 2","Hosting","UNGSC","Application Delivery Controller (ADC)","RFS-1-10727955037",""
"bdsvi-d-vpx-02","BDSVI-D-VCC-01","false","bdsvi-d-vpx-02","Powered On","FreeBSD 11 (64-bit)","Oracle Solaris 10 (64-bit)","Development","Application Delivery Controller (ADC)","ADC - DEV","PSU UAL Umoja Access Layer Tier 2","PSU UAL Umoja Access Layer Tier 2","Hosting","UNGSC","Application Delivery Controller (ADC)","RFS-1-10727955037",""
"gclva-d-app-01","BDSVI-D-VCC-01","false","gclva-d-app-01.global.un.org","Powered On","Red Hat Enterprise Linux 9 (64-bit)","Red Hat Enterprise Linux 7 (64-bit)","-","-","-","-","-","-","-","-","-",""
"rhel8-d-latest","BDSVI-D-VCC-01","false","none","Powered Off","Red Hat Enterprise Linux 8 (64-bit)","Red Hat Enterprise Linux 8 (64-bit)","-","-","-","-","-","-","-","-","-",""
"salb-e-app-01","BDSVI-D-VCC-01","false","salb-e-app-01.global.un.org","Powered On","Red Hat Enterprise Linux 8 (64-bit)","Red Hat Enterprise Linux 8 (64-bit)","Preproduction","Second Admin Level Boundaries Toolbox","SALB ToolBox - PRE","Application Support (BSC-ASU-APP)","PSU HCO Hybrid Cloud Operations","Hosting","OICT","-","RFS-1-9109139522","RFS-1-9109139522"
"ssu-d-mng-01_Migrated_to_Proxmox_15/01/2026","BDSVI-D-VCC-01","false","none","Powered Off","none","Red Hat Enterprise Linux 8 (64-bit)","Development","Ansible Docker","ANSIBLE DOCKER - DEV","CSDS SSU - Solutions and Support Unit","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","RFS-1-9614813037","RFS-1-9614813037"
"dpl-d-app-01","BDSVI-D-VCC-01","false","dpl-d-app-01.global.un.org","Powered On","Red Hat Enterprise Linux 8 (64-bit)","Red Hat Enterprise Linux 8 (64-bit)","Development","CMD Drupal","CMS Drupal - DEV","PSU HCO Hybrid Cloud Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","RFS-1-10006019787","RFS-1-10006019787"
"prex-e-app-01","BDSVI-D-VCC-01","false","prex-e-app-01.global.un.org","Powered On","Red Hat Enterprise Linux 9 (64-bit)","Red Hat Enterprise Linux 9 (64-bit)","Preproduction","Prisoner Exchange","Prisoner Exchange - PRE","OSESG-Y","PSU HCO Hybrid Cloud Operations","Hosting","OSESG-Y","OSESG-Y","RFS-1-12056521037",""
"comms-e-db-01_Migrated_to_Proxmox_13/01/2026","BDSVI-D-VCC-01","false","comms-e-db-01.global.un.org","Powered Off","Red Hat Enterprise Linux 9 (64-bit)","Red Hat Enterprise Linux 9 (64-bit)","Preproduction","GLO - CommsNet Tracking (Unite Aware Suite)","COMMSNET - PRE","Application Support (BSC-ASU-APP)","PSU HCO Hybrid Cloud Operations","Hosting","DOS","","RFS-1-11719866947","RFS-1-11719866947"
"comms-e-db-02_Migrated_to_Proxmox_13/01/2026","BDSVI-D-VCC-01","false","comms-e-db-02.global.un.org","Powered Off","Red Hat Enterprise Linux 9 (64-bit)","Red Hat Enterprise Linux 9 (64-bit)","Preproduction","GLO - CommsNet Tracking (Unite Aware Suite)","COMMSNET - PRE","Application Support (BSC-ASU-APP)","PSU HCO Hybrid Cloud Operations","Hosting","DOS","","RFS-1-11719866947","RFS-1-11719866947"
"mnet-e-app-01_Migrated_to_Proxmox_13/01/2026","BDSVI-D-VCC-01","false","none","Powered Off","none","Red Hat Enterprise Linux 9 (64-bit)","Preproduction","UA-MEDIANET","MEDIANET - PRE","Application Support (BSC-ASU-APP)","PSU HCO Hybrid Cloud Operations","Hosting","DOS","","RFS-1-11838055725","RFS-1-11838055725"
"comms-d-app-01_Migrated_to_Proxmox_12/01/2026","BDSVI-D-VCC-01","false","none","Powered Off","none","Red Hat Enterprise Linux 9 (64-bit)","Development","GLO - CommsNet Tracking (Unite Aware Suite)","COMMSNET - DEV","OICT Unite Aware Dev Team","PSU HCO Hybrid Cloud Operations","Hosting","DOS","Global Field Missions","RFS-1-11941123173","RFS-1-11941123173"
"comms-e-db-03_Migrated_to_Proxmox_13/01/2026","BDSVI-D-VCC-01","false","comms-e-db-03","Powered Off","Red Hat Enterprise Linux 9 (64-bit)","Red Hat Enterprise Linux 9 (64-bit)","Preproduction","GLO - CommsNet Tracking (Unite Aware Suite)","COMMSNET - PRE","Application Support (BSC-ASU-APP)","PSU HCO Hybrid Cloud Operations","Hosting","DOS","-","RFS-1-11894366010","RFS-1-11894366010"
"sage-u-db-03_Migrated_to_Proxmox_07/01/2026","BDSVI-D-VCC-01","false","none","Powered Off","none","Red Hat Enterprise Linux 9 (64-bit)","UAT","Unite Aware Sage","Sage - TRG","Database Services Support (BSC-ASU-DS)","PSU HCO Hybrid Cloud Operations","Hosting","DOS","","","RFS-1-12158371877"
"prex-e-db-01","BDSVI-D-VCC-01","false","prex-e-db-01.global.un.org","Powered On","Red Hat Enterprise Linux 9 (64-bit)","Red Hat Enterprise Linux 9 (64-bit)","Preproduction","Prisoner Exchange","Prisoner Exchange - PRE","OSESG-Y","PSU HCO Hybrid Cloud Operations","Hosting","OSESG-Y","OSESG-Y","RFS-1-12056521037",""
"mnet-d-api-01_Migrated_to_Proxmox_13/01/2026","BDSVI-D-VCC-01","false","none","Powered Off","none","Red Hat Enterprise Linux 9 (64-bit)","Development","UA-MEDIANET","MEDIANET - DEV","OICT Unite Aware Dev Team","PSU HCO Hybrid Cloud Operations","Hosting","DOS","Global Field Missions","-","RFS-1-11654276077"
"sage-u-db-02_Migrated_to_Proxmox_07/01/2026","BDSVI-D-VCC-01","false","sage-u-db-02","Powered Off","Red Hat Enterprise Linux 9 (64-bit)","Red Hat Enterprise Linux 9 (64-bit)","UAT","Unite Aware Sage","Sage - TRG","Database Services Support (BSC-ASU-DS)","PSU HCO Hybrid Cloud Operations","Hosting","DOS","","","RFS-1-12158371877"
"mnet-q-api-01_Migrated_to_Proxmox_15/01/2026","BDSVI-D-VCC-01","false","none","Powered Off","none","Red Hat Enterprise Linux 9 (64-bit)","Development","UA-MEDIANET","MEDIANET - DEV","OICT Unite Aware Dev Team","PSU HCO Hybrid Cloud Operations","Hosting","DOS","Global Field Missions","-","RFS-1-11654276077"
"sage-u-db-01_Migrated_to_Proxmox_07/01/2026","BDSVI-D-VCC-01","false","sage-u-db-01","Powered Off","Red Hat Enterprise Linux 9 (64-bit)","Red Hat Enterprise Linux 9 (64-bit)","UAT","Unite Aware Sage","Sage - TRG","Database Services Support (BSC-ASU-DS)","PSU HCO Hybrid Cloud Operations","Hosting","DOS","","RFS-1-11851926618","RFS-1-11851926618"
"comms-e-api-01_Migrated_to_Proxmox_13/01/2026","BDSVI-D-VCC-01","false","none","Powered Off","none","Red Hat Enterprise Linux 9 (64-bit)","Preproduction","GLO - CommsNet Tracking (Unite Aware Suite)","COMMSNET - PRE","Application Support (BSC-ASU-APP)","PSU HCO Hybrid Cloud Operations","Hosting","DOS","","RFS-1-11719866947","RFS-1-11719866947"
"sage-u-web-01_Migrated_to_Proxmox_07/01/2026","BDSVI-D-VCC-01","false","none","Powered Off","none","Red Hat Enterprise Linux 9 (64-bit)","UAT","Unite Aware Sage","Sage - TRG","Application Support (BSC-ASU-APP)","PSU HCO Hybrid Cloud Operations","Hosting","DOS","","RFS-1-11851926618","RFS-1-11851926618"
"opsdt-e-db-01","BDSVI-D-VCC-01","false","none","Powered Off","none","Red Hat Enterprise Linux 9 (64-bit)","Preproduction","Drupal Data Gathering","Drupal Data Gathering App - PRE","Application Support (BSC-ASU-APP)","PSU HCO Hybrid Cloud Operations","Hosting","DOS","","RFS-1-11854939614","RFS-1-11854939614"
"sage-u-web-02_Migrated_to_Proxmox_07/01/2026","BDSVI-D-VCC-01","false","none","Powered Off","none","Red Hat Enterprise Linux 9 (64-bit)","UAT","Unite Aware Sage","Sage - TRG","Application Support (BSC-ASU-APP)","PSU HCO Hybrid Cloud Operations","Hosting","DOS","","RFS-1-11851926618","RFS-1-11851926618"
"mnet-e-app-02_Migrated_to_Proxmox_13/01/2026","BDSVI-D-VCC-01","false","none","Powered Off","none","Red Hat Enterprise Linux 9 (64-bit)","Preproduction","UA-MEDIANET","MEDIANET - PRE","Application Support (BSC-ASU-APP)","PSU HCO Hybrid Cloud Operations","Hosting","DOS","","RFS-1-11838055725","RFS-1-11838055725"
"alm-q-app-02","BDSVI-D-VCC-01","false","alm-q-app-02.global.un.org","Powered On","Red Hat Enterprise Linux 9 (64-bit)","Red Hat Enterprise Linux 9 (64-bit)","QA","Software Lifecycle Tracking Tool","ALM - QA","UNGSC-ISD-IT- Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","","RFS-1-12381505289",""
"mnet-q-api-02_Migrated_to_Proxmox_15/01/2026","BDSVI-D-VCC-01","false","none","Powered Off","none","Red Hat Enterprise Linux 9 (64-bit)","Development","UA-MEDIANET","MEDIANET - DEV","OICT Unite Aware Dev Team","PSU HCO Hybrid Cloud Operations","Hosting","DOS","Global Field Missions","-","RFS-1-11654276077"
"comms-e-api-02_Migrated_to_Proxmox_13/01/2026","BDSVI-D-VCC-01","false","none","Powered Off","none","Red Hat Enterprise Linux 9 (64-bit)","Preproduction","GLO - CommsNet Tracking (Unite Aware Suite)","COMMSNET - PRE","Application Support (BSC-ASU-APP)","PSU HCO Hybrid Cloud Operations","Hosting","DOS","","RFS-1-11719866947","RFS-1-11719866947"
"rhel9-d-latest","BDSVI-D-VCC-01","false","none","Powered Off","Red Hat Enterprise Linux 9 (64-bit)","Red Hat Enterprise Linux 9 (64-bit)","-","-","-","-","-","-","-","-","-",""
"BDSVI-D-NSXE-02","BDSVI-D-VCC-01","false","BDSVI-D-NSXE-02","Powered On","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","Development","VMWare Virtualization","NSX EDGE - DEV","NSU DCN Data Center Networking","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","-",""
"BDSVI-D-NSXE-04","BDSVI-D-VCC-01","false","BDSVI-D-NSXE-04","Powered On","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","Development","VMWare Virtualization","NSX EDGE - DEV","NSU DCN Data Center Networking","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","-",""
"ubuntu2204-p-latest","BDSVI-D-VCC-01","false","none","Powered Off","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","-","-","-","-","-","-","-","-","-","VM created with Packer 2024-04-09_08-47 UTC 
 Repo commit: 123456 not built via pipeline 
 Pipeline trigger url: 123456 not built via pipeline "
"VLCVI-D-NSXS-01","BDSVI-D-VCC-01","false","vlcvi-d-nsxs-01","Powered On","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","Development","VMWare Virtualization","NSX Manager - DEV","NSU DCN Data Center Networking","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","-",""
"BDSVI-D-NSXE-01","BDSVI-D-VCC-01","false","BDSVI-D-NSXE-01","Powered On","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","Development","VMWare Virtualization","NSX EDGE - DEV","NSU DCN Data Center Networking","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","-",""
"vlcvi-d-nsxs-03","BDSVI-D-VCC-01","false","vlcvi-d-nsxs-03","Powered On","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","Development","VMWare Virtualization","NSX Manager - DEV","NSU DCN Data Center Networking","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","-",""
"ubuntu2204-d-latest","BDSVI-D-VCC-01","false","none","Powered Off","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","-","-","-","-","-","-","-","-","-","VM created with Packer 2024-02-20_08-56 UTC 
 Repo commit: 123456 not built via pipeline 
 Pipeline trigger url: 123456 not built via pipeline "
"vlcvi-d-nsxs-02","BDSVI-D-VCC-01","false","vlcvi-d-nsxs-02","Powered On","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","Development","VMWare Virtualization","NSX Manager - DEV","NSU DCN Data Center Networking","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","-",""
"HPEOb-D-APP-01","BDSVI-D-VCC-01","false","observer","Powered On","Other 4.x Linux (64-bit)","Ubuntu Linux (64-bit)","Production","HPE Observer","Templates","PSU HCO Hybrid Cloud Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","-",""
"BDSVI-D-NSXE-03","BDSVI-D-VCC-01","false","BDSVI-D-NSXE-03","Powered On","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","Development","VMWare Virtualization","NSX EDGE - DEV","NSU DCN Data Center Networking","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","-",""
"vCLS-32343150-3837-5a43-3231-323930373658","BDSVI-D-VCC-01","false","vcls-32343150-3837-5a43-3231-323930373658","Powered On","VMware Photon CRX (64-bit)","VMware Photon CRX (64-bit)","-","-","-","-","-","-","-","-","-",""
"vCLS-32343150-3837-5a43-3231-323930373654","BDSVI-D-VCC-01","false","vcls-32343150-3837-5a43-3231-323930373654","Powered On","VMware Photon CRX (64-bit)","VMware Photon CRX (64-bit)","-","-","-","-","-","-","-","-","-",""
"vCLS-35323550-3533-5a43-3244-325a30355730","BDSVI-D-VCC-01","false","vcls-35323550-3533-5a43-3244-325a30355730","Powered On","VMware Photon CRX (64-bit)","VMware Photon CRX (64-bit)","-","-","-","-","-","-","-","-","-",""
"vCLS-35323550-3533-5a43-3244-325a30355653","BDSVI-D-VCC-01","false","vcls-35323550-3533-5a43-3244-325a30355653","Powered On","VMware Photon CRX (64-bit)","VMware Photon CRX (64-bit)","-","-","-","-","-","-","-","-","-",""
"tnbl-p-mgr-01","BDSVI-P-VCC-01","false","tnbl-p-mgr-01","Powered On","Oracle Linux 8 (64-bit)","CentOS 4/5 (64-bit)","Production","Tenable","Tenable - PRD","ICT Security Service","ICT Security Service","Hosting","OICT","-","RFS-1-11292704676","Tenable Core + Nessus (20230720)"
"tnbl-p-secc-01","BDSVI-P-VCC-01","false","tnbl-p-secc-01","Powered On","Oracle Linux 8 (64-bit)","CentOS 4/5 (64-bit)","Production","Tenable","Tenable - PRD","ICT Security Service","ICT Security Service","Hosting","OICT","-","RFS-1-11292704676","Tenable Core (20231120)"
"tnbl-p-scn-01","BDSVI-P-VCC-01","false","tnbl-p-scn-01","Powered On","Oracle Linux 8 (64-bit)","CentOS 4/5 (64-bit)","Production","Tenable","Tenable - PRD","ICT Security Service","ICT Security Service","Hosting","OICT","-","RFS-1-11292705076","Tenable Core + Nessus (20230720)"
"tnbl-p-scn-02","BDSVI-P-VCC-01","false","tnbl-p-scn-02","Powered On","Oracle Linux 8 (64-bit)","CentOS 4/5 (64-bit)","Production","Tenable","Tenable - PRD","ICT Security Service","ICT Security Service","Hosting","OICT","-","RFS-1-11292705076","Tenable Core + Nessus (20230720)"
"ovdi-r-glic-01","BDSVI-P-VCC-01","false","nls-si-0","Powered On","Ubuntu Linux (64-bit)","CentOS 8 (64-bit)","Production","OneVDI","OneVDI NVIDIA LM - PRD","PSU HCO Hybrid Cloud Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","RFS-1-11940981778",""
"citrx-p-adm-02","BDSVI-P-VCC-01","false","citrx-p-adm-02","Powered On","FreeBSD 11 (64-bit)","FreeBSD (64-bit)","-","-","-","-","-","-","-","-","-",""
"dfs-unhqapp-03","BDSVI-P-VCC-01","false","none","Powered Off","none","Microsoft Windows Server 2012 (64-bit)","-","-","-","-","-","-","-","-","-",""
"test-p-rpl-03","BDSVI-P-VCC-01","false","test-p-rpl-03.global.un.org","Powered On","Microsoft Windows Server 2019 (64-bit)","Microsoft Windows Server 2016 (64-bit)","Production","Platform Management","Test","PSU HCO Hybrid Cloud Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","-","Template built with Packer on:  2022-03-03_19-29 UTC 
 Repo commit: db23578e72ba608c7af5da311c93f58a1b95b90a 
 Pipeline trigger url: https://gitgsc.un.org/hcc/Private-Cloud/packer-windows2019-template-prod/-/pipelines/1050 "
"emare-p-mng-01","BDSVI-P-VCC-01","false","emare-p-mng-01.global.un.org","Powered On","Microsoft Windows Server 2016 (64-bit)","Microsoft Windows Server 2016 (64-bit)","Production","EMC Networker","BRM Backup","PSU HCO Hybrid Cloud Operations","PSU HCO Hybrid Cloud Operations","Hosting","UNGSC","-","RFS-1-10416148215",""
"test-p-rpl-02","BDSVI-P-VCC-01","false","test-p-rpl-02.global.un.org","Powered On","Microsoft Windows Server 2019 (64-bit)","Microsoft Windows Server 2016 (64-bit)","-","-","-","-","-","-","-","-","-","Template built with Packer on:  2022-03-03_19-29 UTC 
 Repo commit: db23578e72ba608c7af5da311c93f58a1b95b90a 
 Pipeline trigger url: https://gitgsc.un.org/hcc/Private-Cloud/packer-windows2019-template-prod/-/pipelines/1050 "
"Win2016-Template","BDSVI-P-VCC-01","false","none","Powered Off","Microsoft Windows Server 2016 (64-bit)","Microsoft Windows Server 2016 (64-bit)","-","-","-","-","-","-","-","-","-",""
"spcom-p-iis-51","BDSVI-P-VCC-01","false","spcom-p-iis-51.global.un.org","Powered On","Microsoft Windows Server 2019 (64-bit)","Microsoft Windows Server 2019 (64-bit)","Production","Comet","SPCOM SharePoint 2019 - PRD","UNGSC MEG Collaboration","PSU HCO Hybrid Cloud Operations","Hosting","DOS","-","-","RFS-1-9350645811"
