VM_Name,Cluster,Environment,Functional_Group,IP_Address,Location,Organization,OS,OS_Technical_Maintainer,Technology,THS deployment,THS_System covered by GRR,THS_System covered by Sysmon,THS_System logs shipped,UUID,Application,CICollection,Status
UNFPA-P-WEB-01,BDSVI-Prod-G11,Production,CSDS SSU - Solutions and Support Unit,10.128.128.214,Brindisi,UNFPA,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,Unknown,UNFPA Population Data Platform,UNFPA - PRD,Existing
GIS-R-SQL-01,bdsvi-p-pve-04,Production,Database Services Support (BSC-ASU-DS),10.129.75.36,Brindisi,UNGSC,linux9,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,049dd617-15f5-4277-8c09-43f8316f378d,UN Geoportal,Unknown,Removed
SPSE-E-IIS-01,vlcvi-p-pve-11,Preproduction,OICT MEG Collaboration,10.130.105.171,Valencia,UNGSC,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,057609f3-f444-47bf-8f86-3e872458fbe6,OSLA Case Management System,OSLAW - PRE,Removed
UNVMC-B-DC,bdsvi-p-pve-05,Production,PSU HCO Hybrid Cloud Operations,10.130.204.42,Brindisi,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,092f670c-4565-4574-88d3-692ab47bd9b8,Active Directory,Active Directory Domain Services,Removed
SPCOM-P-SG-11,vlcvi-p-pve-08,Production,OICT MEG Collaboration,10.130.3.168,Valencia,UNGSC,Unknown,PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,0abce20c-90e0-4399-8c40-d90aaf06839b,Comet,Unknown,Removed
SPCOM-P-SG-03,vlcvi-p-pve-08,Production,OICT MEG Collaboration,10.130.3.65,Valencia,UNGSC,Unknown,PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,0e4bc91f-777b-453c-a09c-0cd71506642a,Comet,Unknown,Removed
AD-D-DC-02,bdsvi-p-pve-01,Unknown,Unknown,Unknown,Brindisi,Unknown,Unknown,Unknown,Proxmox,Unknown,Unknown,Unknown,Unknown,114e15db-d10c-4fb5-bfc0-e674bd901039,Unknown,Unknown,Removed
SPCOM-P-SG-12,vlcvi-p-pve-08,Production,OICT MEG Collaboration,10.130.3.169,Valencia,UNGSC,Unknown,PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,12442161-3229-48df-bfa1-0bc14b301c8d,Comet,Unknown,Removed
DEVOP-E-APP-02,vlcvi-p-pve-11,Unknown,Unknown,10.130.84.24,Valencia,Unknown,Unknown,Unknown,Proxmox,Unknown,Unknown,Unknown,Unknown,125a9536-4447-44c8-87ce-d70fa8f96422,Unknown,Unknown,Removed
ELK-D-IS-01,vlcvi-p-pve-03,Unknown,Unknown,Unknown,Valencia,Unknown,Linux (Other),Unknown,Proxmox,Unknown,Unknown,Unknown,Unknown,13fe6196-4df0-41a3-8464-a4b0cd7d414d,Unknown,Unknown,Removed
AGS-D-APP-01,bdsvi-p-pve-01,Unknown,Unknown,Unknown,Brindisi,Unknown,Unknown,Unknown,Proxmox,Unknown,Unknown,Unknown,Unknown,188a052f-e0b3-412e-82ab-09031d0ce437,Unknown,Unknown,Removed
GIS-R-SQL-03,bdsvi-p-pve-04,Production,Database Services Support (BSC-ASU-DS),10.129.75.70,Brindisi,UNGSC,linux9,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,19922a39-f1c2-467a-b6bd-69435bbcc432,UN Geoportal,Unknown,Removed
RSCE-V-DC,vlcvi-p-pve-14,Unknown,PSU HCO Hybrid Cloud Operations,10.130.76.22,Valencia,DOS,Linux (Other),PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,1ac986bf-fea2-49c5-ab6e-876d576c489a,Active Directory,Active Directory Domain Services,Removed
MTBAS-D-APP-01,vlcvi-p-pve-02,Unknown,Unknown,Unknown,Valencia,Unknown,Linux (Other),Unknown,Proxmox,Partial,Yes,"N/A, Linux",No,1b8abfdc-50e2-44f8-8cd5-45670ca771d8,Unknown,Unknown,Removed
UNISFA-B-DC,bdsvi-p-pve-06,Production,PSU HCO Hybrid Cloud Operations,10.130.204.8,Brindisi,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,1be5eece-312e-4ba4-9084-06738bc880f3,Active Directory,Active Directory Domain Services,Removed
SPSE-E-SRC-01,vlcvi-p-pve-02,Unknown,Unknown,10.130.105.169,Valencia,Unknown,Unknown,Unknown,Proxmox,Completed,Yes,Yes,Yes,1c5f38e3-54df-450a-adcd-1bf5ee9ae244,Unknown,Unknown,Removed
MEAP-P-APP-02,vlcvi-p-pve-08,Production,Application Support (BSC-ASU-APP),10.130.78.82,Valencia,UNGSC,Unknown,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,1f2257c4-d575-461f-b742-43550e9eb8f9,Unite FRIM MEAP Automation Solution,MEAP - Green,Removed
DFS-GEOCRTX-02,UNGSC-B-PRO-ACI-01,Production,Unknown,10.130.202.78,Brindisi,UNGSC,Windows Server 2016,Unknown,VMware,Completed,Yes,Yes,Yes,25b40650-ef88-5607-c09c-8b1437b0e4b7,UN Geoportal,Geocortex - PRD,Removed
WINTESTBDS1,bdsvi-p-pve-02,Unknown,Unknown,Unknown,Brindisi,Unknown,Unknown,Unknown,Proxmox,Unknown,Unknown,Unknown,Unknown,26073da6-8d01-4aed-9de0-036fb1ab0a1f,Unknown,Unknown,Removed
ELK-D-DNOD-02,vlcvi-p-pve-03,Unknown,Unknown,Unknown,Valencia,Unknown,Linux (Other),Unknown,Proxmox,Unknown,Unknown,Unknown,Unknown,27b49984-d130-4c3e-98f2-1ded550ccb5d,Unknown,Unknown,Removed
GIS-P-SQL-02,vlcvi-p-pve-04,Production,Database Services Support (BSC-ASU-DS),10.129.14.64,Valencia,UNGSC,linux9,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,2981ce6a-adcc-44c6-91c2-0f7de208e7cb,UN Geoportal,Unknown,Removed
FRIM-E-ARCH-01,bdsvi-p-pve-01,Unknown,Unknown,Unknown,Brindisi,Unknown,Unknown,Unknown,Proxmox,Completed,Yes,Yes,Yes,2aff7562-fc9e-4795-ac84-bed00bd1d739,Unknown,Unknown,Removed
DEVOP-G-MNG-02,bdsvi-p-pve-02,Unknown,Unknown,Unknown,Brindisi,Unknown,Unknown,Unknown,Proxmox,Unknown,Unknown,Unknown,Unknown,2c50524c-03c7-425d-a1e1-342af55d03cf,Unknown,Unknown,Removed
ELK-D-MNOD-01,vlcvi-p-pve-03,Unknown,Unknown,Unknown,Valencia,Unknown,Linux (Other),Unknown,Proxmox,Unknown,Unknown,Unknown,Unknown,2df3bdb2-eecb-473a-a6b3-0964dfbc6436,Unknown,Unknown,Removed
GIS-R-SQL-02,bdsvi-p-pve-04,Production,Database Services Support (BSC-ASU-DS),10.129.75.37,Brindisi,UNGSC,linux9,PSU HCO Hybrid Cloud Operations,Proxmox,Partial,Yes,No,No,2f6dfde1-de57-4f1e-bafa-64fa25e39d54,UN Geoportal,Unknown,Removed
DBGSC-U-DB-02,vlcvi-p-pve-03,Unknown,Unknown,Unknown,Valencia,Unknown,Linux (Other),Unknown,Proxmox,Unknown,Unknown,Unknown,Unknown,33a8641c-0f45-4a15-8e7b-c598d57f0757,Unknown,Unknown,Removed
TELRD-E-DB-01,vlcvi-p-pve-03,Unknown,Application Support (BSC-ASU-APP),Unknown,Valencia,UNGSC,Linux (Other),PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,34a996e6-fc32-47d4-9e2f-aa6fa9756df4,Missions Radius Service,Mission Pin Code - PRE,Removed
MATMO-E-APP-01,vlcvi-p-pve-02,Unknown,CSDS SSU - Solutions and Support Unit,Unknown,Valencia,UNGSC,Linux (Other),PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,383a8755-50e8-47c9-b4a8-f2e1aea2f17c,unece web analytics matomo,MATOMO - PRE,Removed
ISEPX-P-PAN-01,bdsvi-p-pve-15,Unknown,Unknown,Unknown,Brindisi,Unknown,Linux (Other),Unknown,Proxmox,Unknown,Unknown,Unknown,Unknown,3882c595-a99f-4354-85aa-db6fff759840,Unknown,Unknown,Removed
SPSE-E-APP-01,vlcvi-p-pve-02,Preproduction,OICT MEG Collaboration,10.130.105.165,Valencia,UNGSC,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Partial,Yes,No,No,3a3f8617-f273-4928-b664-054fd161ce37,OSLA Case Management System,OSLAW - PRE,Removed
MEAP-R-APP-02,bdsvi-p-pve-06,Production,Application Support (BSC-ASU-APP),Unknown,Brindisi,UNGSC,Unknown,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,3bd1b1bd-0d2c-4e53-8d2e-7da1d207d6f9,Unite FRIM MEAP Automation Solution,MEAP - Green,Removed
TELRD-P-DB-01,vlcvi-p-pve-14,Unknown,Application Support (BSC-ASU-APP),Unknown,Valencia,UNGSC,Linux (Other),PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,3f3f8065-e4f7-4cec-9238-39231fd510af,Missions Radius Service,Mission Pin Code - PRD,Removed
MAIL-P-MUL-02,vlcvi-p-pve-10,Unknown,Unknown,10.130.71.3,Valencia,Unknown,Unknown,Unknown,Proxmox,Completed,Yes,Yes,Yes,3f982848-942a-43f8-95d9-beecca7e95f3,Unknown,Unknown,Removed
MDS-P-PX-53,vlcvi-p-pve-04,Unknown,IOS NSU - Network Support Unit,Unknown,Valencia,UNGSC,Linux (Other),RMSU NT Network Team,Proxmox,Unknown,Unknown,Unknown,Unknown,420583c9-4733-42de-8307-92083a88515b,Checkpoint,CheckPoint - PRE,Removed
NTBOX-P-APP-02,vlcvi-p-pve-05,Unknown,IOS NSU - Network Support Unit,10.130.91.46,Valencia,DOS,Linux (Other),PSU HCO Hybrid Cloud Operations,Proxmox,Partial,Yes,"N/A, Linux",No,42060080-6086-082c-e440-a50f4376d2b1,Netbox,Netbox - PRD,Removed
DFS-VIMGMT-01,bdsvi-p-pve-11,Unknown,PSU HCO Hybrid Cloud Operations,10.130.222.128,Brindisi,DOS,Windows Server 2016,PSU HCO Hybrid Cloud Operations,Proxmox,Partial,Yes,No,No,4206010c-39ee-fed9-feb5-8cb3bdb0ad04,Platform Management Tools,Platform Management tools,Removed
DFS-VPNRAS-04,bdsvi-p-pve-11,Production,RMSU OT - Operations Team,Unknown,Brindisi,UNGSC,Windows Server 2019,PSU HCO Hybrid Cloud Operations,Proxmox,Partial,Yes,No,No,42060182-15f4-b13b-9efe-eba0d2bad5b0,aovpn service,VPN Remote Portal - PRD,Removed
DFS-UMMCSQL-01,bdsvi-p-pve-13,Production,Database Services Support (BSC-ASU-DS),Unknown,Brindisi,DOS,Windows Server 2016,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,420601d3-fc78-1a5b-427c-f87c41779a40,Umoja Material Master Cockpit,UMMC - PRD,Removed
DFS-FRIMPBI-01,bdsvi-p-pve-10,Production,IOS DTSU - Digital Technologies Support Unit,10.129.75.17,Brindisi,DOS,Windows Server 2016,PSU HCO Hybrid Cloud Operations,Proxmox,Partial,Yes,No,No,42060227-52eb-0f6e-bf02-83628258007d,FRIM,FRIM - PI - PRD,Removed
SCOM-R-DPGW-03,bdsvi-p-pve-11,Production,Enterprise Services and Applications (BSC-ASU-ESA),10.130.222.80,Brindisi,UNGSC,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Partial,Yes,No,No,42060244-4da0-6c93-4e77-99be531dd2a2,Service Monitor SCOM,SCOM - PRD,Removed
DFS-MDMAPP-11,bdsvi-p-pve-03,Preproduction,Database Services Support (BSC-ASU-DS),Unknown,Brindisi,DOS,Windows Server 2016,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,4206027b-3597-dc5d-4414-6d960551c8de,MDM,MDM - PRE,Removed
DFS-FSSSQL-36,bdsvi-p-pve-03,QA,UNGSC-ISD-IT- Operations,Unknown,Brindisi,DOS,Windows Server 2016,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,420607f5-e8aa-1df6-8b84-615e1046dbbc,FSS - Field Support Suite,FSS - QA,Removed
DFS-EXC-034,bdsvi-p-pve-05,Production,UNGSC MEG Messaging,Unknown,Brindisi,DOS,Windows Server 2019,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,42060a1a-6455-09fd-a41c-22f82a0e247d,Exchange On-prem,DFSDAG17 - PRD,Removed
DFS-UCMDDFP-03,bdsvi-p-pve-14,Production,Enterprise Services and Applications (BSC-ASU-ESA),10.130.222.20,Brindisi,DOS,Windows Server 2019,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,42060a28-87a0-7330-f983-de6f1afa6d94,HP uCMDB,uCMDB Probe - PRD,Removed
OSESGY-B-DC,bdsvi-p-pve-05,Production,PSU HCO Hybrid Cloud Operations,10.130.204.34,Brindisi,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,42060a6b-2e37-b80b-896a-2c48a97c6949,Active Directory,Active Directory Domain Services,Removed
DFS-MQTTBK-01,bdsvi-p-pve-14,Unknown,IOS DTSU - Digital Technologies Support Unit,Unknown,Brindisi,DOS,Linux (Other),PSU HCO Hybrid Cloud Operations,Proxmox,Partial,Yes,"N/A, Linux",No,42060cae-1048-618a-f528-670bcca21b09,FRIM,FRIM - AP - PRD,Removed
DFS-USGDGW-01,bdsvi-p-pve-11,Production,OICT MEG Productivity,10.130.201.72,Brindisi,DOS,Windows Server 2019,PSU HCO Hybrid Cloud Operations,Proxmox,Partial,Yes,No,No,42060dda-994b-975f-a6b4-01d118019a4c,Fabric\PowerBI,DataGateway - PRD,Removed
DFS-LISSRV-01,bdsvi-p-pve-11,Production,NSU Digital Radio Support Team (DRST),10.130.201.62,Brindisi,DOS,Windows Server 2016,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,42060df5-9425-bd72-cd52-22277e78495a,tetra gina,TETRA LIS - PRD,Removed
DFS-TELRAD-02,bdsvi-p-pve-05,Unknown,Application Support (BSC-ASU-APP),10.130.222.157,Brindisi,DOS,Linux (Other),PSU HCO Hybrid Cloud Operations,Proxmox,Partial,Yes,"N/A, Linux",No,42060e4d-3e86-cf05-73d3-cb89aad4e6ee,Missions Radius Service,Mission Pin Code - PRD,Removed
DFS-FSSIIS-42,bdsvi-p-pve-06,Training,UNGSC-ISD-IT- Operations,10.130.206.198,Brindisi,DOS,Windows Server 2016,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,42060e66-67df-92bf-e445-4b56b85d9f3f,FSS - Field Support Suite,FSS - TRG,Removed
FRIM-P-IIS-01,bdsvi-p-pve-11,Production,IOS DTSU - Digital Technologies Support Unit,10.130.206.69,Brindisi,DOS,Windows Server 2019,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,42060e85-0baa-a64b-aecd-dba3cf7b8e8f,FRIM,FRIM - PRD,Removed
DFS-GISVM-04,bdsvi-p-pve-13,Production,CSDS SSU - Solutions and Support Unit,10.130.202.44,Brindisi,DOS,Windows Server 2019,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,42060f72-3128-d92f-26fa-3ceacaa16a19,ArcGIS,ArcGIS - PRD,Removed
DFS-CTRAPP-02,bdsvi-p-pve-11,Production,CSDS SSU - Solutions and Support Unit,10.130.197.225,Brindisi,UNGSC,Windows Server 2019,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,42061083-a210-27f7-bc37-6dc2ff329687,Contract Performance Reporting Tool,CTR - Green,Removed
DFSEXC-B-DC,bdsvi-p-pve-13,Production,PSU HCO Hybrid Cloud Operations,10.130.204.62,Brindisi,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,420610cb-018b-da85-a330-a93bd0583299,Active Directory,Active Directory Domain Services,Removed
UNMIK-B-DC,bdsvi-p-pve-06,Production,PSU HCO Hybrid Cloud Operations,10.130.204.14,Brindisi,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,42061155-583f-ddbf-eb98-5776c16c9c34,Active Directory,Active Directory Domain Services,Removed
DFS-WEBAPP-02,bdsvi-p-pve-11,Unknown,Application Support (BSC-ASU-APP),10.130.201.77,Brindisi,DOS,Linux (Other),PSU HCO Hybrid Cloud Operations,Proxmox,Partial,Yes,"N/A, Linux",No,420613b0-a8ed-f43a-dfb1-b837356c4772,Missions Radius Service,Mission Pin Code - PRD,Removed
DFS-XLNASQL-01,bdsvi-p-pve-13,Production,Database Services Support (BSC-ASU-DS),10.129.75.175,Brindisi,DOS,Windows Server 2019,PSU HCO Hybrid Cloud Operations,Proxmox,Partial,Yes,No,No,420615ab-cfa5-dec0-32eb-49340bf36600,LN Read-Only (LNAM),LNAM RO - PRD,Removed
MINUSCA-B-DC2,bdsvi-p-pve-05,Production,PSU HCO Hybrid Cloud Operations,10.130.204.51,Brindisi,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,42061787-2818-8428-b687-97e430a5d7a6,Active Directory,Active Directory Domain Services,Removed
VTTLK-E-WEB-01,bdsvi-p-pve-03,Unknown,Application Support (BSC-ASU-APP),Unknown,Brindisi,DOS,Linux (Other),PSU HCO Hybrid Cloud Operations,Proxmox,Partial,Yes,"N/A, Linux",No,420618a6-9bcc-77ef-0f38-ab70d5942494,UN Vector Tiles,UNVT - PRE,Removed
DFS-AUDIT-01,bdsvi-p-pve-14,Production,ICT Security Service,10.130.239.130,Brindisi,DOS,Windows Server 2016,PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,42061a9f-9e8a-3b92-9efe-ba3112266de0,Acunetix Vulnerability Scanner,Acutinex - PRD,Removed
DFS-APPTS-11,bdsvi-p-pve-02,Unknown,Unknown,Unknown,Brindisi,Unknown,Unknown,Unknown,Proxmox,Completed,Yes,Yes,Yes,42061b0c-5dc3-8163-efc9-9ba0e057fe12,NY Applications,NOTNY - DEV,Removed
DFS-LOGINDEX-04,bdsvi-p-pve-10,Unknown,PSU HCO Hybrid Cloud Operations,10.130.222.186,Brindisi,DOS,Linux (Other),PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,42061d8a-f868-dcc5-ff1d-9d800c3e3a97,Event Log Management,EM Elasticsearch,Removed
UNITAD-B-DC,bdsvi-p-pve-05,Production,PSU HCO Hybrid Cloud Operations,10.130.204.43,Brindisi,UNAMI - UNITAD,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,42061f84-c38e-6b3f-b2f1-d2484f5f79df,Active Directory,Active Directory Domain Services,Removed
GSC-B-DC,bdsvi-p-pve-13,Production,PSU HCO Hybrid Cloud Operations,10.130.204.24,Brindisi,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,42061ffe-5069-0e92-d4dc-33e403da6d6a,Active Directory,Active Directory Domain Services,Removed
DFS-MDMAPP-01,bdsvi-p-pve-05,Production,Database Services Support (BSC-ASU-DS),10.130.197.16,Brindisi,DOS,Windows Server 2016,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,4206218e-768c-75e5-1f0e-1f21000ec311,MDM,MDM - PRD,Removed
RSCE-B-DC,bdsvi-p-pve-06,Production,PSU HCO Hybrid Cloud Operations,10.130.204.22,Brindisi,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,420622b8-b05a-b9ff-c28a-9e323128afab,Active Directory,Active Directory Domain Services,Removed
DFS-EXC-033,bdsvi-p-pve-04,Production,UNGSC MEG Messaging,Unknown,Brindisi,DOS,Windows Server 2019,PSU HCO Hybrid Cloud Operations,Proxmox,Partial,Yes,No,No,420622f7-fe9f-40f2-aab2-9378835c6a04,Exchange On-prem,DFSDAG17 - PRD,Removed
SCOM-R-DPGW-02,bdsvi-p-pve-11,Production,Enterprise Services and Applications (BSC-ASU-ESA),10.130.222.78,Brindisi,UNGSC,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,420623ab-1d44-539b-f210-6a23abacd0a9,Service Monitor SCOM,SCOM - PRD,Removed
SCOM-R-DPGW-01,bdsvi-p-pve-05,Production,Enterprise Services and Applications (BSC-ASU-ESA),10.130.222.77,Brindisi,UNGSC,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,420624e4-55f0-e756-3a64-3f3456e0e262,Service Monitor SCOM,SCOM - PRD,Removed
DFS-FRIMNS-01,bdsvi-p-pve-14,Unknown,IOS DTSU - Digital Technologies Support Unit,10.130.222.99,Brindisi,DOS,Linux (Other),PSU HCO Hybrid Cloud Operations,Proxmox,Partial,Yes,"N/A, Linux",No,42062691-f105-c112-719f-cff8cc152d7d,network server,FRIM - PRD,Removed
FRIM-P-FRWK-01,bdsvi-p-pve-10,Production,IOS DTSU - Digital Technologies Support Unit,10.130.206.66,Brindisi,DOS,Windows Server 2019,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,42062712-e98c-f6ad-7b14-07592ea0a427,FRIM,FRIM - PRD,Removed
UNMIS-B-DC,bdsvi-p-pve-10,Production,PSU HCO Hybrid Cloud Operations,10.130.204.16,Brindisi,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,42062765-e8b7-3733-e05e-a61374afebcc,Active Directory,Active Directory Domain Services,Removed
BRT-R-SQL-01,bdsvi-p-pve-06,Production,Database Services Support (BSC-ASU-DS),10.129.76.10,Brindisi,UNGSC,Windows Server 2019,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,42062980-7443-a9ba-e3da-488d2174a9ee,data backup service,BRT - PRD,Removed
UNSOA-B-DC,bdsvi-p-pve-06,Production,PSU HCO Hybrid Cloud Operations,10.130.204.41,Brindisi,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,42062984-d75a-60e8-6222-6677fb8d575a,Active Directory,Active Directory Domain Services,Removed
DFS-FRIMMQTT-01,bdsvi-p-pve-14,Unknown,IOS DTSU - Digital Technologies Support Unit,Unknown,Brindisi,DOS,Linux (Other),PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,42062a5a-3ab8-273c-5490-0228c66f4b65,FRIM,FRIM-HA,Removed
DFS-MEAPSQL-12,bdsvi-p-pve-06,Preproduction,Database Services Support (BSC-ASU-DS),10.129.75.87,Brindisi,UNGSC,Windows Server 2019,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,42062b2f-3a92-afe6-46cf-6c5178bee4d8,Unite FRIM MEAP Automation Solution,MEAP - Blue,Removed
DFS-HUB-DC05,bdsvi-p-pve-10,Production,PSU HCO Hybrid Cloud Operations,10.130.207.102,Brindisi,UNGSC,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,42062bdd-d4ca-24ee-32c3-16592473a8db,Active Directory,Active Directory Domain Services,Removed
UNGSC-DHCP-02,bdsvi-p-pve-12,Production,Unknown,10.146.16.109,Brindisi,UNGSC,Windows Server 2022,Unknown,Proxmox,Unknown,Unknown,Unknown,Unknown,42062d4f-f73e-05ca-5135-25948c3ff43a,dhcp server,UNGSC DHCP Server - PRD,Removed
UNLB-DC01,bdsvi-p-pve-12,Unknown,Digital Solutions Support Unit (DSSU),10.146.16.111,Brindisi,Unknown,Unknown,Digital Solutions Support Unit (DSSU),Proxmox,Partial,Yes,No,No,42062e07-581b-3dff-2fbc-82e11c9fef74,domain controller,Active Directory Domain Services,Removed
DFS-GISVM-01,bdsvi-p-pve-13,Production,CSDS SSU - Solutions and Support Unit,10.130.206.181,Brindisi,DOS,Windows Server 2016,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,42062e9c-e620-adfd-4541-65f94bfce087,ArcMAP,ArcMap - PRD,Removed
DFS-FSSSQL-35,bdsvi-p-pve-02,QA,UNGSC-ISD-IT- Operations,Unknown,Brindisi,DOS,Windows Server 2016,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,4206303f-f626-ba9c-a321-80c539dd4750,FSS - Field Support Suite,FSS - QA,Removed
UNAMI-B-DC,bdsvi-p-pve-10,Production,PSU HCO Hybrid Cloud Operations,10.130.204.47,Brindisi,UNAMI,Windows Server 2022,PSU HCO Hybrid Cloud Operations,Proxmox,Unknown,Unknown,Unknown,Unknown,4206316c-9c2d-2336-082b-f7720ccfc5da,Active Directory,Active Directory Domain Services,Removed
UNSOM-B-DC01,bdsvi-p-pve-10,Unknown,Unknown,10.130.204.49,Brindisi,Unknown,Unknown,Unknown,Proxmox,Completed,Yes,Yes,Yes,4206331b-7703-a777-7405-ae4c419c52f4,Unknown,Unknown,Removed
DFS-UCMDB-03,bdsvi-p-pve-11,Production,Enterprise Services and Applications (BSC-ASU-ESA),10.130.222.19,Brindisi,DOS,Windows Server 2019,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,420635c1-c1aa-ce1d-833e-9ac95ab6a810,HP uCMDB,uCMDB - PRD,Removed
DFS-ARSIIS-01,bdsvi-p-pve-06,Production,Enterprise Services and Applications (BSC-ASU-ESA),10.130.222.251,Brindisi,UNGSC,Windows Server 2019,PSU HCO Hybrid Cloud Operations,Proxmox,Partial,Yes,No,No,420639a7-dccd-bd4e-0e6a-f3139810f224,Alert reporting system,ARS - PRD,Removed
DFS-CARUIIS-11,bdsvi-p-pve-03,Preproduction,Database Services Support (BSC-ASU-DS),Unknown,Brindisi,DOS,Windows Server 2019,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,42063cef-2648-ee64-78d8-aa6f8ba59fa3,Carlog-Umoja,Carlog-Umoja-PRE,Removed
DFS-MEAPSQL-01,bdsvi-p-pve-10,Production,Database Services Support (BSC-ASU-DS),10.129.75.91,Brindisi,UNGSC,Windows Server 2019,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,42063e01-e261-bd91-4d12-cdc86c76e84a,Unite FRIM MEAP Automation Solution,MEAP - Green,Removed
DFS-TCIEXPRESS,bdsvi-p-pve-04,Production,TISU ICT Mission Technical Support Group,10.130.206.30,Brindisi,DOS,Windows Server 2016,PSU HCO Hybrid Cloud Operations,Proxmox,Completed,Yes,Yes,Yes,42063e18-7fac-ea41-5895-fbed7961ddb9,frim - hvac technology,TCIEXPRESS - PRD,Removed
DFS-FRIMPLC-01,bdsvi-p-pve-05,Production,IOS DTSU - Digital Technologies Support Unit,Unknown,Brindisi,DOS,Windows Server 2016,PSU HCO Hybrid Cloud Operations,Proxmox,Partial,Yes,No,No,42063f6b-602c-8b3f-f5c4-dfffd41bbf2f,FRIM,DCIM - PRD,Removed
