VM_Name,Cluster,Environment,Functional_Group,IP_Address,Location,Organization,OS,OS_Technical_Maintainer,Technology,THS deployment,THS_System covered by GRR,THS_System covered by Sysmon,THS_System logs shipped,UUID,Application,CICollection,Status
SSU-D-MNG-01,BDSVI-Dev,Development,CSDS SSU - Solutions and Support Unit,10.128.216.4,Brindisi,UNGSC,RHEL 8,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c5cce-d57e-eb49-d0d9-7f4e1052113d,Ansible Docker,ANSIBLE DOCKER - DEV,Removed
MODLE-P-DB-07,BDSVI-Prod-HBA,Production,PSU HCO Hybrid Cloud Operations,10.128.8.43,Brindisi,UNGSC,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c5dd5-d039-2a4f-52bb-2e3bcf9c3dda,CMS Moodle,CMS Moodle - PRD,Existing
SWIFT-P-APP-01,VLCVI-Prod-HBA,Production,Unknown,10.128.0.30,Valencia,OICT,RHEL 8,Unknown,VMware,Partial,Yes,"N/A, Linux",No,501c5e06-daac-539c-5ad6-6cb1eac23fc6,Unknown,Unknown,Existing
MODLE-P-APP-06,BDSVI-Prod-HBA,Production,PSU HCO Hybrid Cloud Operations,10.128.0.12,Brindisi,UNGSC,RHEL 8,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c5eec-9341-0c82-9f2c-6ffb7c87028a,CMS Moodle,CMS Moodle - PRD,Existing
STRTT-P-APP-01,VLCVI-Prod-G11,Production,PSU HCO Hybrid Cloud Operations,10.128.0.57,Valencia,UNGSC,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Partial,No,"N/A, Linux",Yes,501c5f9c-d36d-8abb-13c5-0da14dc7fa36,Platform Management,Test,Existing
FSS-P-WEB-08,VLCVI-Prod-G11,Production,Application Support (BSC-ASU-APP),10.128.0.166,Valencia,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c6072-10c6-62f7-65ff-4092a98edffe,FSS - Field Support Suite,FSS Always On - PRD,Existing
SCOM-P-DW-02,VLCVI-Prod-G11,Production,Database Services Support (BSC-ASU-DS),"10.128.8.52, 10.128.8.58",Valencia,UNGSC,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Partial,No,Yes,Yes,501c6119-1f9c-0b4d-35ef-3b460e6a5929,Service Monitor SCOM,SCOM - PRD,Existing
MPM-P-APP-03,VLCVI-Prod-HBA,Production,OICT Application Rationalization,10.128.0.121,Valencia,OICT,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c6159-9857-dcda-5b07-6e272dfb19a9,OICT Indico,Indico - PRD,Existing
UNMIK-WLC-P-APP-01,VLCVI-Prod-G11,Production,RMSU NT Network Team,Unknown,Valencia,UNMIK,Linux (Other - 4.x),RMSU NT Network Team,VMware,Unknown,Unknown,Unknown,Unknown,501c6229-2b23-2f29-c785-b8657abfb9b2,Wireless Lan Controller,WLC - PRD,Existing
ELM-P-WEB-01,VLCVI-Prod-G11,Production,OICT,10.128.0.45,Valencia,OICT,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,No,No,501c626a-4f7c-03e8-dfad-cb9322788f09,OICT Enterprise Learning Management,Inspira LMS - PRD,Existing
DBGSC-P-DB-03,VLCVI-Prod-G11,Production,PSU HCO Hybrid Cloud Operations,10.128.8.92,Valencia,UNGSC,RHEL 8,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c637a-948c-625b-d2f2-bfcd588cdaf7,MySQL,MySQL - PRD,Existing
ETIR-P-APP-06,VLCVI-Prod-HBA,Production,OICT Application Rationalization,10.128.0.129,Valencia,OICT,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c6389-8261-848a-aac7-5c2dd74637e7,eTIR,eTIR - PRD,Existing
ERMS-P-DB-01,VLCVI-Prod-HBA,Production,OICT Application Rationalization,10.128.8.74,Valencia,OICT,RHEL 8,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c63ba-5356-8684-1766-6e317097bbf2,eRMS - Electronic Rations Management System,eRMS - PRD,Existing
FSSDM-P-SQL-01,VLCVI-Prod-G11,Production,Database Services Support (BSC-ASU-DS),"10.128.8.157, 10.128.8.164",Valencia,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c6555-b9de-b32e-1bf4-14835eafa070,FSS - Field Support Suite,FSS Datamart Always On - PRD,Existing
DESPD-P-IIS-01,VLCVI-Prod-G11,Production,DESA Statistics,10.128.0.142,Valencia,DESA,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c6578-6fcb-e034-edd3-d2b6ba28b211,DESA Statistical Division,DESA - PRD,Existing
ALM-Q-UTL-01,BDSVI-Dev,QA,UNGSC-ISD-IT- Operations,10.128.192.84,Brindisi,OICT,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c6733-fd33-aeb0-c4aa-6f05bb8effb5,Software Lifecycle Tracking Tool,ALM - QA,Existing
FSS-P-SQL-03,VLCVI-Prod-G11,Production,Database Services Support (BSC-ASU-DS),"10.128.8.124, 10.128.8.134",Valencia,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c6749-ec5a-43ce-8c65-805b7d528337,FSS - Field Support Suite,FSS Always On - PRD,Existing
FSS-P-SQL-02,VLCVI-Prod-HBA,Production,Database Services Support (BSC-ASU-DS),"10.128.8.122, 10.128.8.131",Valencia,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c6756-140b-7a0e-47db-dda2e8d90484,FSS - Field Support Suite,FSS Always On - PRD,Existing
SPCOM-P-APP-52,BDSVI-Prod-HBA,Production,UNGSC MEG Collaboration,10.128.0.27,Brindisi,DOS,Windows Server 2019,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c67a3-0193-a7ae-2816-36fbc753cc5b,Comet,SPCOM SharePoint 2019 - PRD,Existing
PREX-E-APP-01,BDSVI-Dev,Preproduction,OSESG-Y,10.128.192.79,Brindisi,OSESGY,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c67d7-90a6-f7b2-d207-77bfa7faae3d,Prisoner Exchange,Prisoner Exchange - PRE,Existing
DPGSC-P-WEB-01,VLCVI-Prod-G11,Production,PSU HCO Hybrid Cloud Operations,10.128.0.108,Valencia,UNGSC,Ubuntu,PSU HCO Hybrid Cloud Operations,VMware,Unknown,Unknown,Unknown,Unknown,501c681f-5c45-6fcc-b0df-68851123a25a,CMS Drupal,CMS Drupal - PRD,Existing
SCOM-P-MS-02,VLCVI-Prod-G11,Production,Enterprise Services and Applications (BSC-ASU-ESA),10.128.0.36,Valencia,UNGSC,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Partial,No,Yes,Yes,501c68fb-469a-438d-f708-6b9665869f4f,Service Monitor SCOM,SCOM - PRD,Existing
MPM-P-DB-01,VLCVI-Prod-HBA,Production,OICT Application Rationalization,10.128.8.70,Valencia,OICT,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c699e-9c73-6341-e24e-cec17803389c,OICT Indico,Indico - PRD,Existing
FSS-P-WEB-03,VLCVI-Prod-G11,Production,Application Support (BSC-ASU-APP),10.128.0.161,Valencia,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c6a08-9d2a-43a5-b390-dafc854944d4,FSS - Field Support Suite,FSS Always On - PRD,Existing
THS-P-KIB-01,VLCVI-Prod-G11,Production,ICT Security Service,10.128.0.175,Valencia,OICT,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Unknown,Unknown,Unknown,Unknown,501c6a62-c80d-cf82-9929-6554acd1855f,Global Threat Hunting Solution,OICT-CSS-TH - PRD,Existing
VLCVI-P-VPX-01,VLCVI-Prod-G11,Production,PSU UAL Umoja Access Layer Tier 2,"10.128.24.2, 10.128.16.6",Valencia,UNGSC,FreeBSD 11,PSU UAL Umoja Access Layer Tier 2,VMware,Unknown,Unknown,Unknown,Unknown,501c6b5d-c253-36d4-4ea1-1dfa3a8e1b93,Application Delivery Controller (ADC),ADC - PRD,Existing
OPSDT-E-WEB-02,BDSVI-Dev,Preproduction,Application Support (BSC-ASU-APP),10.128.192.54,Brindisi,DOS,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c6c0f-e7e8-467a-64e4-2edb29f8750a,Drupal Data Gathering,Drupal Data Gathering App - PRE,Removed
CAFM-P-DB-01,VLCVI-Prod-G11,Production,PSU HCO Hybrid Cloud Operations,10.128.8.87,Valencia,DOA,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,No,No,501c6c28-b266-6161-50d4-828b09733ce2,ARCHIBUS - CAFM SmartClient,CAFM - PRD,Existing
SCOM-P-MS-07,VLCVI-Prod-G11,Production,Enterprise Services and Applications (BSC-ASU-ESA),10.128.0.41,Valencia,UNGSC,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Partial,No,Yes,Yes,501c6e0f-fb2a-5c75-86c5-64cba29fc877,Service Monitor SCOM,SCOM - PRD,Existing
SCOM-P-MS-04,VLCVI-Prod-G11,Production,Enterprise Services and Applications (BSC-ASU-ESA),10.128.0.38,Valencia,UNGSC,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Partial,No,Yes,Yes,501c7202-4f9d-5853-0ed8-1e3a65ec4bd3,Service Monitor SCOM,SCOM - PRD,Existing
FSSDM-P-SQL-05,VLCVI-Prod-G11,Production,Database Services Support (BSC-ASU-DS),"10.128.8.162, 10.128.8.168",Valencia,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c721e-8e7e-c929-aede-f25fe0c56f30,FSS - Field Support Suite,FSS Datamart Always On - PRD,Existing
NOVA-P-WEB-01,VLCVI-Prod-G11,Production,DPPA-DPO-SCS,10.128.0.99,Valencia,DPPA-DPO-SCS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,No,No,501c725d-3c77-39c1-d190-b5fd83e1af7b,Nova,Nova - PRD,Existing
MIBSU-P-APP-03,VLCVI-Prod-G11,Production,Minusma,10.128.0.134,Valencia,MINUSMA,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c72b8-927c-e0ab-3f4e-48e52a6a6237,BSU Web Application,BSU - PRD,Existing
EMED-P-DB-02,BDSVI-Prod-HBA,Production,OICT,10.128.136.93,Brindisi,OICT,Windows Server 2019,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c72bd-55a8-c293-47e3-241d3f3b5f28,EarthMed - Medical Services Software,EarthMed - PRD,Removed
ISE-P-PSN-51,VLCVI-Prod-G11,Production,RMSU NT Network Team,10.128.0.54,Valencia,UNGSC,RHEL 8,RMSU NT Network Team,VMware,Unknown,Unknown,Unknown,Unknown,501c72e9-5716-66bb-faa1-21fecc6e7827,MONUSCO CISCO ISE,Cisco ISE - PRD,Existing
EMED-P-APP-03,BDSVI-Prod-HBA,Production,OICT,10.128.128.152,Brindisi,OICT,Windows Server 2019,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c7329-76ec-fb18-9055-c7e414cbef78,EarthMed - Medical Services Software,EarthMed - PRD,Existing
FSSDM-P-SQL-06,VLCVI-Prod-G11,Production,Database Services Support (BSC-ASU-DS),"10.128.8.161, 10.128.8.167",Valencia,DOS,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c7359-ec75-cdfc-9d12-5c6d94c6fc82,FSS - Field Support Suite,FSS Datamart Always On - PRD,Existing
AGS-U-APP-02,BDSVI-Dev,UAT,Application Support (BSC-ASU-APP),10.128.192.88,Brindisi,UNGSC,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,No,No,501c7411-7deb-e158-e36f-72b335a8e8b7,UN Geoportal,GeoPortal - UAT,Removed
MEPNC-P-PRX-07,VLCVI-Prod-G11,Production,PSU IIG Identity Infrastructure Group,10.128.0.138,Valencia,UNGSC,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c7446-8259-11f3-63f1-e9a3d3dfa461,Azure AD Application Proxy,Azure AD Application Proxy,Existing
COMMS-E-DB-03,BDSVI-Dev,Preproduction,Application Support (BSC-ASU-APP),10.128.200.52,Brindisi,DOS,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c75b0-8982-e0f1-9200-7a5b17a365fb,GLO - CommsNet Tracking (Unite Aware Suite),COMMSNET - PRE,Removed
MNET-Q-API-01,BDSVI-Dev,Development,OICT Unite Aware Dev Team,10.128.192.37,Brindisi,DOS,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c75c7-e927-e50f-d8c5-f76f353a6962,UA-MEDIANET,MEDIANET - DEV,Removed
PMT-P-MNG-02,VLCVI-Prod-G11,Production,PSU HCO Hybrid Cloud Operations,10.128.24.11,Valencia,UNGSC,Windows Server 2019,PSU HCO Hybrid Cloud Operations,VMware,Partial,No,Yes,Yes,501c766f-671a-1e16-f0cd-41465c071e98,Platform Management,Platform Management tools,Existing
MIBSU-P-DB-01,VLCVI-Prod-G11,Production,Minusma,10.128.8.57,Valencia,MINUSMA,Windows Server 2022,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c76af-7ada-30e3-6ce4-7e5c415fbb04,BSU Web Application,BSU - PRD,Existing
CSAP-D-APP-01,BDSVI-Dev,Development,PSU HCO Hybrid Cloud Operations,10.128.192.9,Brindisi,UNGSC,Windows Server 2019,PSU HCO Hybrid Cloud Operations,VMware,Completed,Yes,Yes,Yes,501c7771-599a-df16-2398-6018fc42590b,Platform Management,Platform Management - DEV,Removed
COMMS-P-DB-04,VLCVI-Prod-G11,Production,Application Support (BSC-ASU-APP),10.128.8.107,Valencia,DOS,RHEL 9,PSU HCO Hybrid Cloud Operations,VMware,Partial,Yes,"N/A, Linux",No,501c77ad-ebbd-2af0-fabe-affc569bb7e8,GLO - CommsNet Tracking (Unite Aware Suite),COMMSNET - PRD,Existing
